GEO_ID,NAME,DP04_0001E
25001,"Barnstable County, Massachusetts",164064
25003,"Berkshire County, Massachusetts",69149
25005,"Bristol County, Massachusetts",236043
25007,"Dukes County, Massachusetts",18030
25009,"Essex County, Massachusetts",313956
25011,"Franklin County, Massachusetts",34164
25013,"Hampden County, Massachusetts",193713
25015,"Hampshire County, Massachusetts",64114
25017,"Middlesex County, Massachusetts",641278
25019,"Nantucket County, Massachusetts",12498
25021,"Norfolk County, Massachusetts",280180
25023,"Plymouth County, Massachusetts",208056
25025,"Suffolk County, Massachusetts",341231
25027,"Worcester County, Massachusetts",336533